time,event,delta,cumulative,at_capacity
2025-09-01 20:07:47.008,departure,-1,1205,True
2025-09-01 20:07:58.096,departure,-1,1204,True
2025-09-01 20:08:24.554,departure,-1,1203,True
2025-09-01 20:08:40.326,departure,-1,1202,True
2025-09-01 20:09:16.311,arrival,1,1203,True
2025-09-01 20:10:19.275,departure,-1,1202,True
2025-09-01 20:11:45.279,departure,-1,1201,True
2025-09-01 20:12:24.237,arrival,1,1202,True
2025-09-01 20:12:38.530,arrival,1,1203,True
2025-09-01 20:14:21.914,departure,-1,1202,True
2025-09-01 20:14:43.945,arrival,1,1203,True
2025-09-01 20:14:56.107,arrival,1,1204,True
2025-09-01 20:16:04.318,arrival,1,1205,True
2025-09-01 20:19:01.147,arrival,1,1206,True
2025-09-01 20:20:17.341,arrival,1,1207,True
2025-09-01 20:21:28.849,arrival,1,1208,True
2025-09-01 20:27:11.967,arrival,1,1209,True
2025-09-01 20:29:21.943,arrival,1,1210,True
2025-09-01 20:31:13.193,arrival,1,1211,True
2025-09-01 20:31:21.367,arrival,1,1212,True
2025-09-01 20:33:21.394,arrival,1,1213,True
2025-09-01 20:35:58.783,arrival,1,1214,True
2025-09-01 20:39:27.446,arrival,1,1215,True
2025-09-01 20:39:42.206,arrival,1,1216,True
2025-09-01 20:42:48.936,arrival,1,1217,True
2025-09-01 20:43:39.550,arrival,1,1218,True
2025-09-01 20:44:44.883,arrival,1,1219,True
2025-09-01 20:44:47.603,arrival,1,1220,True
2025-09-01 20:50:00.222,departure,-1,1219,True
2025-09-01 20:50:23.668,departure,-1,1218,True
2025-09-01 20:52:09.531,arrival,1,1219,True
2025-09-01 20:52:20.057,arrival,1,1220,True
2025-09-01 21:00:56.581,departure,-1,1219,True
2025-09-01 21:06:48.139,departure,-1,1218,True
2025-09-01 21:07:12.971,departure,-1,1217,True
2025-09-01 21:07:39.938,arrival,1,1218,True
2025-09-01 21:08:10.977,departure,-1,1217,True
2025-09-01 21:10:39.782,departure,-1,1216,True
2025-09-01 21:11:06.696,arrival,1,1217,True
2025-09-01 21:13:54.732,departure,-1,1216,True
2025-09-01 21:14:29.529,departure,-1,1215,True
2025-09-01 21:15:50.482,arrival,1,1216,True
2025-09-01 21:17:37.659,arrival,1,1217,True
2025-09-01 21:19:04.521,arrival,1,1218,True
2025-09-01 21:20:25.846,arrival,1,1219,True
2025-09-01 21:40:33.792,departure,-1,1218,True
2025-09-01 21:54:13.801,arrival,1,1219,True
2025-09-01 21:54:38.382,arrival,1,1220,True
2025-09-01 21:58:36.519,departure,-1,1219,True
2025-09-01 22:03:20.677,arrival,1,1220,True
2025-09-01 22:07:27.908,arrival,1,1221,True
2025-09-01 22:17:21.450,arrival,1,1222,True
2025-09-01 22:17:24.643,arrival,1,1223,True
